5/1/2020,,,,,,,,,,,
"Country,",Total,New,Total,New,Total,Active,"Serious,",Tot Cases/,Deaths/,Total,Tests/
Other,Cases,Cases,Deaths,Deaths,Recovered,Cases,Critical,1M pop,1M pop,Tests,1M pop
Réunion,422,2,,0,300,122,2,471,0,0,
Kenya,411,15,21,4,150,240,2,8,0.4,"21,702",404
Palestine,353,9,2,0,76,275,0,69,0.4,"32,200","6,312"
Venezuela,335,2,10,0,142,183,2,12,0.4,"458,737","16,132"
Mauritius,332,0,10,0,312,10,3,261,8,"16,028","12,603"
Montenegro,322,0,7,0,233,82,2,513,11,"6,864","10,929"
Isle of Man,316,1,22,1,271,23,21,"3,716",259,"3,228","37,962"
Equatorial Guinea,315,0,1,0,9,305,0,225,0.7,854,609
Gabon,276,0,3,0,67,206,1,124,1,724,325
Vietnam,270,0,,0,219,51,8,3,0,"261,004","2,681"
Paraguay,266,17,10,1,113,143,1,37,1,"9,903","1,388"
Guinea-Bissau,257,52,1,0,19,237,,131,0.5,"1,500",762
Rwanda,249,6,,,109,140,,19,,"10,969",847
Congo,229,9,9,,25,195,,41,2,,
Faeroe Islands,187,,,,184,3,,"3,827",,"7,081","144,915"
Martinique,179,1,14,,83,82,5,477,37,,
Liberia,152,11,18,2,45,89,,30,4,,
Guadeloupe,152,1,12,,95,45,6,380,30,,
Myanmar,151,1,6,,31,114,,3,0.1,"8,281",152
Gibraltar,144,,,,131,13,,"4,274",,"2,626","77,944"
Brunei,138,,1,,124,13,2,315,2,"13,717","31,355"
Sierra Leone,136,12,7,,21,108,,17,0.9,,
Ethiopia,133,2,3,,66,64,,1,0.03,"18,754",163
Madagascar,132,4,,,94,38,1,5,,"3,228",117
French Guiana,128,2,1,,98,29,2,429,3,,
Togo,123,7,9,,66,48,,15,1,"7,100",858
Cabo Verde,122,1,1,,18,103,,219,2,791,"1,423"
Cambodia,122,,,,119,3,1,7,,"12,084",723
Trinidad and Tobago,116,,8,,81,27,,83,6,"1,772","1,266"
Bermuda,114,,6,,48,60,4,"1,831",96,"2,791","44,815"
Zambia,109,3,3,,74,32,1,6,0.2,"5,284",287
Eswatini,106,6,1,,12,93,,91,0.9,714,615
Aruba,100,,2,,81,17,4,937,19,"1,721","16,119"
Monaco,95,,4,,73,18,1,"2,421",102,,
Benin,90,26,2,1,42,46,,7,0.2,,
Haiti,85,4,8,,10,67,,7,0.7,848,74
Uganda,85,2,,,52,33,,2,,"33,818",739
Guyana,82,,9,,22,51,2,104,11,579,736
Liechtenstein,82,,1,,55,26,,"2,151",26,900,"23,605"
Bahamas,81,,11,,24,46,1,206,28,"1,284","3,265"
Barbados,81,,7,,39,35,4,282,24,"2,160","7,516"
Mozambique,79,3,,,12,67,,3,,"2,246",72
Sint Maarten,76,1,13,,44,19,7,"1,773",303,329,"7,673"
Cayman Islands,74,1,1,,10,63,3,"1,126",15,"1,927","29,320"
Chad,73,,5,,33,35,,4,0.3,,
CAR,72,22,,,10,62,,15,,,
Libya,63,2,3,,18,42,,9,0.4,"1,949",284
Nepal,59,2,,,16,43,,2,,"60,374","2,072"
French Polynesia,58,,,,51,7,1,206,,"2,544","9,056"
Macao,45,,,,37,8,1,69,,,
South Sudan,45,10,,,,45,,4,,"1,247",111
Syria,44,1,3,,27,14,,3,0.2,,
Eritrea,39,,,,26,13,,11,,,
Saint Martin,38,,3,,27,8,3,983,78,,
Mongolia,38,,,,10,28,,12,,"7,672","2,340"
Malawi,37,,3,,9,25,1,2,0.2,831,43
Zimbabwe,34,,4,,5,25,,2,0.3,"7,642",514
Angola,30,3,2,,11,17,,0.9,0.06,481,15
Antigua and Barbuda,25,1,3,,15,7,1,255,31,151,"1,542"
Timor-Leste,24,,,,16,8,,18,,322,244
Botswana,23,,1,,8,14,,10,0.4,"7,675","3,264"
Grenada,20,,,,13,7,4,178,,"1,406","12,495"
Laos,19,,,,8,11,,3,,"2,021",278
Belize,18,,2,,13,3,1,45,5,"1,043","2,623"
Fiji,18,,,,12,6,,20,,"1,007","1,123"
New Caledonia,18,,,,17,1,1,63,,"4,947","17,328"
Saint Lucia,17,,,,15,2,,93,,446,"2,429"
Curaçao,16,,1,,13,2,,98,6,351,"2,139"
Sao Tome and Principe,16,2,1,1,4,11,,73,5,19,87
Dominica,16,,,,13,3,,222,,383,"5,320"
Namibia,16,,,,8,8,,6,,704,277
St. Vincent Grenadines,16,,,,8,8,,144,,108,973
Saint Kitts and Nevis,15,,,,6,9,,282,,293,"5,508"
Tajikistan,15,,,,,15,,2,,,
Nicaragua,14,,3,,7,4,,2,0.5,,
Falkland Islands,13,,,,13,0,,"3,736",,372,"106,897"
Gambia,12,1,1,,8,3,,5,0.4,401,166
